storename,address,위도,경도
울산언양점,울산 울주군 언양읍 헌양길 42 ,35.5651248,129.1251641
울산옥동점,울산 남구 거마로 7-1 (옥동) ,35.5351641,129.2953472
울산유곡점,울산 중구 종가4길 9 (유곡동) ,35.5603485,129.2955875
울산전하점,"울산 동구 봉수로 250 (전하동, 울산전하푸르지오) ",35.5089978,129.4232437
울산태화점,울산 중구 태화로 183 (태화동) ,35.5523112,129.2960450
울산호계점,울산 북구 동대5길 47 (호계동) ,35.6307493,129.3518049
울산남외점,울산 중구 남외3길 7 (남외동) ,35.5649563,129.3507863
울산화봉점,"울산 북구 화동로 11 (화봉동, 화봉 쌍용예가) ",35.5923924,129.3678077
부산구포3동점,"부산 북구 시랑로 94 (구포동, 한창데파트) ",35.1973760,129.0065130
부산가야점,부산 부산진구 엄광로 264 (가야동) ,35.1537860,129.0389529
부산광안점,부산 수영구 광일로 23 (광안동) ,35.1621769,129.1115442
부산남천역점,부산 수영구 수영로 396 (남천동) ,35.1415572,129.1076478
부산남항점,부산 영도구 남항로 38 (남항동2가) ,35.0886521,129.0404604
부산당리점,부산 사하구 제석로65번길 2 (당리동) ,35.1065105,128.9750320
부산대연점,부산 남구 진남로 17-26 (대연동) ,35.1368145,129.0905253
부산동대신점,부산 서구 구덕로 327 (서대신동3가) ,35.1130262,129.0160891
부산동서대점,부산 사상구 가야대로366번길 54 (주례동) ,35.1486795,129.0127266
부산동서대점,부산 사상구 가야대로366번길 54 (주례동) ,35.1486795,129.0127266
부산동아대점,부산 사하구 낙동대로 524 (하단동) ,35.1109368,128.9656568
부산두실점,부산 금정구 중앙대로1945번길 30 (구서동) ,35.2580696,129.0896204
부산마린시티점,"부산 해운대구 마린시티3로 1 (우동, 선프라자) ",35.1580154,129.1475625
부산망미주공점,부산 연제구 과정로 103 (연산동) ,35.1806650,129.1069377
부산반송점,"부산 해운대구 신반송로 194 (반송동, 광하아파트) ",35.2302546,129.1604770
부산반여1동점,부산 해운대구 선수촌로 83 (반여동) ,35.2011454,129.1190945
부산부경대점,부산 남구 수영로266번길 61 (대연동) ,35.1342073,129.0984143
