storename,address,위도,경도
가양점,서울 강서구 강서로 506 (가양동) ,37.5705900,126.8419416
개화산역점,서울 강서구 양천로 28 (방화동) ,37.5722167,126.8067625
내발산점,서울 강서구 강서로 306 (내발산동) ,37.5528913,126.8367559
공항시장역점,서울 강서구 공항대로3길 38 (공항동) ,37.5632038,126.8106575
신방화역점,"서울 강서구 마곡서1로 100 (마곡동, 마곡엠밸리6단지) ",37.5660350,126.8200808
목사거리점,서울 강서구 곰달래로 271 (화곡동) ,37.5325118,126.8631650
신정점,"서울 양천구 목동남로4길 6-23 (신정동, 목동2차우성아파트) ",37.5074420,126.8655747
목동1점,서울 양천구 목동중앙로 89 (목동) ,37.5373138,126.8719758
신정역점,서울 양천구 오목로 194 (신정동) ,37.5252076,126.8589307
목2동점,"서울 양천구 목동중앙본로 113 (목동, 효명) ",37.5457178,126.8708727
신월2동점,서울 양천구 오목로 77 (신월동) ,37.5231196,126.8461062
서남병원점,"서울 양천구 신정이펜1로 50 (신정동, 신정이펜하우스3단지) ",37.5128156,126.8303336
신월7동점,서울 양천구 지양로 75 (신월동) ,37.5221846,126.8333496
목3동점,서울 양천구 등촌로 172 (목동) ,37.5450758,126.8625878
신월1점,서울 양천구 화곡로 84 (신월동) ,37.5393241,126.8312135
구로5동점,"서울 구로구 공원로 35 (구로동, 새솔금호아파트) ",37.5000947,126.8904472
신도림점,서울 구로구 경인로65길 44 (신도림동) ,37.5095917,126.8852068
고척점,서울 구로구 고척로 123-2 (개봉동) ,37.5022949,126.8479957
동양미래대학점,서울 구로구 경인로47길 31 (고척동) ,37.5006072,126.8661148
개봉한진점,서울 구로구 개봉로3길 56 (개봉동) ,37.4863501,126.8532347
구로1점,서울 구로구 도림로 65 (구로동) ,37.4893938,126.8908878
오류2동점,서울 구로구 오류로 60 (오류동) ,37.4899944,126.8403404
구일점,"서울 구로구 구일로4길 46 (구로동, 현대연예인아파트) ",37.4927124,126.8772190
천왕점,서울 구로구 천왕로 42 (천왕동) ,37.4812207,126.8390083
대림우성점,서울 영등포구 대림로 154 (대림동) ,37.4948145,126.9003624
선유도역점,서울 영등포구 양평로 112 (양평동4가) ,37.5374065,126.8952665
당산점,서울 영등포구 당산로44길 3 (당산동5가) ,37.5319526,126.9009551
양평점,서울 영등포구 선유서로 67 (양평동2가) ,37.5218351,126.8851642
영등포구남부역점,서울 영등포구 영신로19길 16 (영등포동) ,37.5140547,126.9060004
신대방점,"서울 영등포구 여의대방로 25 (신길동, 보라매 경남아너스빌) ",37.4950690,126.9103685
신길점,서울 영등포구 영등포로 365 (신길동) ,37.5143484,126.9191038
신풍역점,서울 영등포구 신풍로12길 2 (신길동) ,37.4998159,126.9130475
영등포구청역점,서울 영등포구 당산로 108 (당산동3가) ,37.5242941,126.8965101
도림점,서울 영등포구 대림로 247 (대림동) ,37.5025499,126.8962876
여의도점,서울 영등포구 국제금융로7길 22 (여의도동) ,37.5232563,126.9330807
독산홈플러스점,서울 금천구 시흥대로 406 (독산동) ,37.4696611,126.8984727
시흥사거리점,서울 금천구 금하로 630 (시흥동) ,37.4546674,126.9011343
시흥4동점,서울 금천구 독산로 170 (시흥동) ,37.4624950,126.9044276
구로전화국점,서울 금천구 독산로 353 (독산동) ,37.4784457,126.9036198
시흥벽산점,서울 금천구 금하로 757 (시흥동) ,37.4501854,126.9138348
신대방삼거리역점,서울 동작구 보라매로 93 (신대방동) ,37.4977822,126.9277226
남성역점,서울 동작구 사당로 226 (사당동) ,37.4835662,126.9728006
동작구청점,서울 동작구 장승배기로 164 (노량진동) ,37.5123258,126.9404051
장승배기점,서울 동작구 상도로 152 (상도동) ,37.5029561,126.9362533
보라매역점,서울 동작구 여의대방로 180 (대방동) ,37.5030372,126.9217339
숭실대점,서울 동작구 상도로 357 (상도동) ,37.4969506,126.9535536
대림사거리점,서울 동작구 대림로 56 (신대방동) ,37.4884568,126.9073949
대방현대점,"서울 동작구 등용로 127 (대방동, 대방동현대아파트) ",37.5129359,126.9306714
흑석명수대점,"서울 동작구 현충로 119 (흑석동, 명수대현대아파트) ",37.5077817,126.9672021
총신대점,서울 동작구 동작대로27길 28 (사당동) ,37.4876207,126.9804516
봉천중앙시장점,서울 관악구 관악로 211 (봉천동) ,37.4841975,126.9543313
서울대입구역점,서울 관악구 쑥고개로 139 (봉천동) ,37.4788845,126.9520409
봉천점,서울 관악구 청룡2길 47 (봉천동) ,37.4814599,126.9434907
신림역점,서울 관악구 남부순환로 1594-1 (신림동) ,37.4837833,126.9278797
낙성대역점,서울 관악구 남부순환로 1949 (봉천동) ,37.4765457,126.9656159
신림6동점,서울 관악구 신림로 141 (신림동) ,37.4716121,126.9334537
신림9동점,서울 관악구 대학6길 2 (신림동) ,37.4689817,126.9375834
남현점,서울 관악구 남현1가길 4 (남현동) ,37.4757180,126.9776084
신대방역점,서울 관악구 난곡로 354 (신림동) ,37.4855153,126.9140577
난곡점,서울 관악구 난곡로 203 (신림동) ,37.4731103,126.9184974
관악드림타운점,서울 관악구 은천로25길 63 (봉천동) ,37.4888441,126.9486424
은천점,서울 관악구 은천로 38-1 (봉천동) ,37.4860597,126.9395871
난곡파로스점,"서울 관악구 난곡로 100 (신림동, 파로스프라자A동) ",37.4642923,126.9195348
양재점,서울 서초구 남부순환로356길 33 (양재동) ,37.4835685,127.0382388
방배역점,서울 서초구 방배로13길 19 (방배동) ,37.4827199,126.9954125
방배본동점,서울 서초구 동광로 56-4 (방배동) ,37.4920415,126.9887707
구반포역점,서울 서초구 신반포로 49 (반포동) ,37.5022129,126.9900136
논현점,서울 강남구 강남대로122길 41 (논현동) ,37.5088137,127.0262907
역삼1동점,서울 강남구 역삼로 145 (역삼동) ,37.4947741,127.0352340
대치점,서울 강남구 도곡로84길 6 (대치동) ,37.4989174,127.0626498
한티역점,서울 강남구 선릉로 313 (역삼동) ,37.4976470,127.0519690
일원점,서울 강남구 양재대로55길 15 (일원동) ,37.4918974,127.0875038
포이점,서울 강남구 논현로10길 30 (개포동) ,37.4749931,127.0509550
매봉역점,서울 강남구 남부순환로378길 12 (도곡동) ,37.4854360,127.0458602
개포1단지점,서울 강남구 선릉로6길 8 (개포동) ,37.4825611,127.0617028
석촌점,서울 송파구 송파대로 447 (석촌동) ,37.5063633,127.1056992
잠실본동점,서울 송파구 백제고분로 165 (잠실동) ,37.5053813,127.0852889
마천점,서울 송파구 성내천로 218 (마천동) ,37.4996443,127.1517190
문정점,서울 송파구 송이로 198-1 (문정동) ,37.4901387,127.1278829
풍납점,서울 송파구 토성로 65 (풍납동) ,37.5289127,127.1173696
거여점,서울 송파구 양산로 42 (거여동) ,37.4926414,127.1445023
송파1점,서울 송파구 가락로 158 (송파동) ,37.5031253,127.1132668
방이점,서울 송파구 마천로 61 (오금동) ,37.5082227,127.1274572
개롱점,"서울 송파구 오금로 407 (오금동, 상아아파트) ",37.4980109,127.1363903
가락시영점,서울 송파구 가락로 63 (석촌동) ,37.4999813,127.1033548
가락점,서울 송파구 송이로 93 (가락동) ,37.4979552,127.1210598
잠실점,"서울 송파구 올림픽로35가길 9 (신천동, 잠실 푸르지오 월드마크) ",37.5174066,127.1036580
잠실4단지점,서울 송파구 석촌호수로 134 (삼전동) ,37.5071038,127.0919498
장지역점,서울 송파구 새말로8길 29 (문정동) ,37.4801195,127.1269649
암사점,서울 강동구 올림픽로 787 (암사동) ,37.5514771,127.1277494
강일점,"서울 강동구 아리수로97길 19 (강일동, 강일리버파크4단지아파트) ",37.5670476,127.1760274
상일동역점,서울 강동구 고덕로79길 29 (고덕동) ,37.5580697,127.1647191
길동점,서울 강동구 양재대로116길 38 (길동) ,37.5381548,127.1424879
암사롯데캐슬점,서울 강동구 고덕로 105 (암사동) ,37.5550033,127.1371919
천호1동점,서울 강동구 구천면로 328 (천호동) ,37.5484578,127.1360656
천호점,서울 강동구 천호옛길 90 (성내동) ,37.5367602,127.1259422
둔촌점,서울 강동구 양재대로 1339 (성내동) ,37.5259577,127.1350289
명일점,서울 강동구 구천면로 424 (명일동) ,37.5503475,127.1455974
고덕점,"서울 강동구 동남로71길 38 (명일동, 동양타워) ",37.5520312,127.1540865
마포구청역점,서울 마포구 방울내로 87 (망원동) ,37.5610388,126.9048403
대흥역점,서울 마포구 백범로 86 (대흥동) ,37.5481775,126.9408179
망원점,서울 마포구 월드컵로13길 56 (망원동) ,37.5553754,126.9070387
합정역점,서울 마포구 독막로2길 6 (합정동) ,37.5482962,126.9146252
마포도화점,서울 마포구 삼개로 24 (도화동) ,37.5380811,126.9472545
성산점,서울 마포구 월드컵북로 224 (성산동) ,37.5698817,126.9045075
만리점,서울 마포구 만리재옛길 104 (공덕동) ,37.5511471,126.9616259
상수역점,서울 마포구 독막로 94 (상수동) ,37.5475699,126.9239155
상암점,서울 마포구 월드컵북로 324 (상암동) ,37.5753908,126.8957878
마포창전점,서울 마포구 서강로9길 48 (창전동) ,37.5542375,126.9311582
동교점,서울 마포구 동교로 205 (동교동) ,37.5584188,126.9231345
후암점,서울 용산구 후암로 3-1 (후암동) ,37.5462552,126.9782278
용문시장점,서울 용산구 효창원로 97 (용문동) ,37.5373950,126.9597588
보광점,서울 용산구 보광로 45 (보광동) ,37.5281045,126.9989374
경리단점,서울 용산구 회나무로13길 10 (이태원동) ,37.5397771,126.9895910
한남점,"서울 용산구 독서당로 22 (한남동, 동원베네스트) ",37.5301631,127.0078018
북가좌점,서울 서대문구 응암로 69 (북가좌동) ,37.5794092,126.9107188
명지대점,서울 서대문구 거북골로 14 (홍은동) ,37.5808295,126.9255787
서대문냉천점,서울 서대문구 통일로 157-6 (냉천동) ,37.5680135,126.9640144
홍제점,서울 서대문구 통일로 414 (홍제동) ,37.5864867,126.9470705
이대점,서울 서대문구 이화여대7길 15 (대현동) ,37.5586532,126.9448115
가재울점,"서울 서대문구 거북골로 120 (남가좌동, DMC센트레빌) ",37.5761735,126.9157281
연희점,서울 서대문구 연희로 82 (연희동) ,37.5652128,126.9302083
문화촌점,서울 서대문구 세검정로 57 (홍제동) ,37.5930290,126.9472215
녹번점,서울 은평구 은평로 197-1 (녹번동) ,37.6018747,126.9295919
갈현점,서울 은평구 갈현로 262 (갈현동) ,37.6202156,126.9163459
역촌점,서울 은평구 갈현로 82 (역촌동) ,37.6052717,126.9106903
은평뉴타운2지구점,"서울 은평구 진관2로 90 (진관동, 은평뉴타운 마고정) ",37.6332758,126.9272865
구산역점,서울 은평구 서오릉로 130 (대조동) ,37.6107829,126.9185016
불광2동점(연신내점),서울 은평구 연서로 283-1 (불광동) ,37.6213293,126.9257043
은평신사점,서울 은평구 은평터널로 193-1 (신사동) ,37.5958972,126.9088561
은평뉴타운점,"서울 은평구 진관4로 47 (진관동, 은평뉴타운상림마을) ",37.6462134,126.9263635
독바위역점,서울 은평구 불광로 105 (불광동) ,37.6161592,126.9327199
불광역점,서울 은평구 통일로71길 32 (대조동) ,37.6122909,126.9277698
응암점,서울 은평구 진흥로 29 (역촌동) ,37.6005936,126.9187462
서울성대점,서울 종로구 성균관로 14 (명륜2가) ,37.5841848,126.9978072
