가맹점명,주소,위도,경도
경포,강원 강릉시 안현동 861-8,37.8034555,128.9027003
경희대,서울 동대문구 회기동 42-16,37.5929218,127.0514864
계룡대,충남 계룡시 엄사면 엄사리 253-1,36.2886975,127.2380008
계림,광주 동구 대인동 319-6,35.1562222,126.9140074
계명,대구시 남구 양지로 107,35.8517103,128.5795069
계산1호,인천 계양구 계산동 1081-10,37.5359698,126.7368935
계산2호,인천 계양구 계산동 61-2,37.5381484,126.7308262
계산3호,인천 계양구 계산동 942-30,37.5407958,126.7217158
계양사동,경북 경산시 사동 48,35.8135182,128.7578278
고덕1호(서울),서울 강동구 고덕동 650-1,37.5598121,127.1516836
고덕1호(평택),경기 평택시 고덕면 여염리 4434-2,37.0427336,127.0526829
고등,경기 성남시 수정구 고등동 595-11,37.4278106,127.0948606
고령,경북 고령군 대가야읍 지산리 3-11,35.7271587,128.2655110
고성(강원),강원 고성군 간성읍 하리 18-1,38.3795741,128.4677103
고성(경남),경남 고성군 고성읍 송학리 244-88,34.9776704,128.3267292
고양동,경기 고양시 덕양구 고양동 176-8 104호,37.7070618,126.9030386
고운,세종 고운동 1718,36.5055622,127.2337192
고읍1호,경기 양주시 광사동 657,37.7939693,127.0794915
고잔1호,경기 안산시 단원구 고잔동 756-1,37.3133117,126.8390525
고잔2호,경기 안산시 단원구 와동 720-13,37.3328326,126.8270266
고창,전북 고창군 고창읍 교촌리 483,35.4360554,126.7107790
고척1호,서울 구로구 개봉1동 126-4,37.5024397,126.8483742
고촌,김포시 고촌읍 신곡리 1064(스카이스퀘어 3),37.6035585,126.7680884
고현상동,경남 거제시 고현동 406-18,34.8798298,128.6277114
고흥,전남 고흥군 고흥읍 남계리 439-3,34.6111488,127.2878787
곡반정,경기 수원시 권선구 곡반정동 584-4,37.2355158,127.0262507
곤지암,경기 광주시 곤지암읍 곤지암리 443-9,37.3500882,127.3401603
공도1호,경기 안성시 공도읍 만정리 417-98,36.9989431,127.1687495
공릉1호,서울 노원구 공릉동 338-6,37.6229737,127.0791682
공릉2호,서울 노원구 공릉동 461-1,37.6302391,127.0757695
공릉3호,서울 노원구 공릉동 568-27,37.6230953,127.0734786
공업탑,울산 남구 신정동 1218-7,35.5331562,129.3074739
공항신도시,인천 중구 운서동 2801-3,37.4944794,126.4912535
과천1호,경기 과천시 원문동 4 레미안 슈르 A상가(4번지)동 제1층 1023호,37.4206753,126.9923004
과천역,경기 과천시 부림동 49,37.4320041,127.0000714
관교,인천 남구 관교동 321-5,37.4469962,126.6926168
관양,경기 안양시 동안구 관양동 1724-1,37.4057972,126.9720399
관음,대구 북구 관음동 1383-9,35.9395193,128.5495092
관저1호,대전 유성구 원내동 829 외 1필지,36.3019581,127.3307063
관저느리울,대전 서구 관저동 1354,36.2979665,127.3401893
관평,대전 유성구 관평동 1056,36.4236706,127.3920731
광교1호,경기 수원시 영통구 이의동 1332 CB 4~5호,37.2906758,127.0504754
광명1호,경기 광명시 광명동 158-1015,37.4801785,126.8525664
광명역,"경기 광명시 일직동 511-5번지 대호M스퀘어 102호, 103호",37.4201841,126.8837237
광안1호,수영구 광안동 120-13,35.1613726,129.1170074
광안2호,부산 수영구 광안동 168-3,35.1537034,129.1123836
광양읍1호,전남 광양시 광양읍 칠성리 947-3,34.9725758,127.5813735
광양읍2호,전남 광양시 광양읍 용강리 857-5번지,34.9760817,127.6066680
광장,서울 광진구 광장동 530-13,37.5419658,127.0957299
광주1호,경기 광주시 경안동 154-1,37.4120953,127.2514656
광혜원,충북 진천군 광혜원면 광혜원리 503-7,36.9903056,127.4414161
괘법,부산 사상구 괘법동 516-1,35.1677739,128.9805404
괴안,경기 부천시 소사구 괴안동 39-2,37.4809694,126.8051083
괴정1호,부산 사하구 괴정동 487-24,35.0963743,128.9927189
교동(속초),강원 속초시 교동 974-2,38.1946199,128.5749500
교동(울산),울산 울주군 삼남면 교동리 1578-1,35.5610231,129.1164677
교동1호(강릉),강원 강릉시 교1동 1863-3,37.7649966,128.8782998
교촌Togo화진,경북 포항시 북구 송라면 지경리 337-10,36.2531468,129.3720620
교하신도시,경기 파주시 다율동 1001-6,37.7267292,126.7168164
구갈2지구,경기 용인시 기흥구 구갈동 353-3,37.2805906,127.1132467
구래,경기 김포시 구래동 6883-1,37.6452662,126.6263133
구례,전남 구례군 구례읍 봉남리 11-9,35.2060463,127.4677274
구로2호,서울 구로구 구로동 74-30,37.4961277,126.8930518
구로디지털,서울 구로구 구로동 826-1,37.4825867,126.8980183
구룡포,경북 포항시 남구 구룡포읍 구룡포리 742-1,35.9919663,129.5502361
구산,경남 김해시 구산동 275-8,35.2483613,128.8729740
구산역,서울 은평구 갈현동 464-14,37.6128910,126.9172575
구서1호,부산 금정구 구서2동 1024-1,35.2580214,129.0862448
구서역,부산 금정구 구서동 457-23,35.2449989,129.0887424
구성1호,경기 용인시 기흥구 마북동 370-9,37.2951412,127.1119064
구암,대구 북구 태전동 1074-6,35.9253016,128.5485309
구암조촌,전북 군산시 조촌동 2-21,35.9766005,126.7405603
구영,울산 울주군 범서읍 구영리 801-6,35.5712213,129.2425549
구월,인천 남동구 구월동 1133-13,37.4537025,126.7040931
구월아시아드,인천 남동구 구월동 1517-2,37.4431663,126.7166447
구의역,서울 광진구 구의동 257-70,37.5389730,127.0851300
구일산,경기 고양시 일산서구 일산동 967-6,37.6873501,126.7648789
구지,대구 달성군 구지면 응암리 1204-2,35.6567024,128.4188803
구포1호,부산 북구 구포3동 1228-1,35.1983574,129.0084263
구포2호,부산 북구 구포동 932-35,35.2000481,128.9970550
국동,전남 여수시 신월동 96-1,34.7246464,127.7096182
국제신도시,부산 강서구 명지동 3412-6,35.0977301,128.9196250
군산대,전북 군산시 미룡동 867-2,35.9474076,126.6864366
권곡,충남 아산시 권곡동 549-26,36.7848834,127.0108445
권선1호,경기 수원시 권선구 권선동 1260-5,37.2526934,127.0284987
궐동,경기 오산시 궐동 650-1,37.1582516,127.0612471
금곡(부산),부산 북구 금곡동 57-6,35.2640690,129.0200540
금곡(안동),경북 안동시 당북동 311-8,36.5643213,128.7204723
금곡1호,경기 수원시 권선구 금곡동 1088-1,37.2734592,126.9429639
금광1호,경기 성남시 중원구 금광동 2706,37.4513367,127.1686109
금당1호,전남 순천시 조례동 1612번지 1-4호,34.9531717,127.5301435
금산(진주),경남 진주시 중천리 192-3,35.2133370,128.1482269
금산(충남),충남 금산군 금산읍 상리 47-10,36.1079870,127.4898771
금오,경기 의정부시 금오동 473-4,37.7513232,127.0695999
금정역,경기 군포시 산본동 236-2,37.3698453,126.9394434
금천광장,충북 청주시 상당구 용담동 395,36.6318428,127.5060534
금촌1호,경기 파주시 금촌동 51-8,37.7640910,126.7759011
금촌로데오,경기 파주시 금촌동 986-2,37.7522161,126.7662970
금호,광주 서구 쌍촌동 881번지,35.1445211,126.8575195
금호역,서울 성동구 금호동4가 1380,37.5481830,127.0187204
금호지구,대구 북구 사수동 912,35.8971015,128.5161892
기장,부산 기장군 기장읍 동부리 134-2,35.2475898,129.2143168
기지시,충남 당진시 반촌리 861-20,36.9015843,126.6981181
길1호,서울 강동구 길동 347-31,37.5411184,127.1425851
길동역,서울 강동구 길동 388-3,37.5373928,127.1385434
길음뉴타운,서울 성북구 길음동 1284-17,37.6065752,127.0209028
김제,전북 김제시 신풍동 594-4번지,35.8020812,126.8990015
김천,경북 김천시 신음동 1301-4,36.1329097,128.1213771
김천부곡,경북 김천시 부곡동 426-1,36.1246334,128.1049936
김천혁신,경북 김천시 율곡동 364,36.1214199,128.1821472
까치산역,서울 강서구 화곡동 343-62 라인씨티 1층,37.5307760,126.8467602
나운1호,전북 군산시 나운동 834-7,35.9657041,126.6992036
나주,전남 나주시 대호동 1040-7,35.0404480,126.7178682
남구로,서울 구로구 구로동 704-38,37.4917010,126.8822833
남목서부,울산 동구 서부동 113-33,35.5235004,129.4318207
남문,경남 창원시 진해구 남문동 1246-4 (골든프라자),35.1064496,128.7535284
남부(순천),전남 순천시 풍덕동 1265-5,34.9441874,127.4943453
남부(포항),경북 포항시 남구 대도동 124-13,36.0146305,129.3652122
남부민,부산 서구 충무동2가 3-1,35.0954711,129.0225609
남사,경기 용인시 처인구 남사면 아곡리 702,37.1525574,127.1720847
남산1호,부산 금정구 남산동 99-6,35.2679780,129.0892908
남악,"전남 무안군 삼향읍 남악리 1577 골든스위트 119, 120호",34.8103989,126.4664020
남양(창원),경남 창원시 성산구 가음동 7-2 더원빌딩 104호,35.2096254,128.6889691
남양1호(화성),경기 화성시 남양읍 남양리 2073-6,37.2021066,126.8262835
남원,전북 남원시 도통동 387-12,35.4131958,127.3915460
남지,경남 창녕군 남지읍 남지리 994-7,35.3918055,128.4807152
남창,울산 울주군 온양읍 대안리 179-10,35.4093204,129.2900568
남평,전남 나주시 남평읍 동사리 359-3,35.0408407,126.8518250
남포부평,부산 중구 중앙동1가 23-6,35.1004597,129.0356328
남해,경남 남해군 남해읍 서변리 160-11,34.8360000,127.8946437
낭월,대전 동구 낭월동 370,36.2823405,127.4667577
내곡,강원 강릉시 내곡동 428-1,37.7444887,128.8840536
내당,대구 서구 내당동 219-7,35.8595295,128.5611541
내동,경남 김해시 내동 138-1,35.2440638,128.8632555
내서삼계,경남 창원시 마산회원구 삼계리 35-14,35.2310856,128.5016567
내손갈뫼,경기 의왕시 내손1동 755-4 명성프라자,37.3790869,126.9744081
