가맹점명,주소,위도,경도
화랑대역점,서울 노원구 노원로1길 67 (공릉동),37.6208327,127.0836582
가평점,경기 가평군 가평읍 가화로 122,37.8305574,127.5136665
청평점,경기 가평군 청평면 잠곡로 1,37.7373133,127.4190695
화정점,경기 고양시 덕양구 백양로 51 (화정동),37.6302765,126.8332872
일산탄현점,경기 고양시 일산서구 일현로 56 (탄현동),37.6919338,126.7637324
일산백석점,경기 고양시 일산동구 일산로 30 (백석동),37.6414718,126.7867566
행신점,경기 고양시 덕양구 중앙로 554 (행신동),37.6237134,126.8358968
일산주엽점,경기 고양시 일산서구 주엽로 134 (주엽동),37.6707188,126.7581364
후곡점,경기 고양시 일산서구 일산로 542 (일산동),37.6779504,126.7680481
일산중산점,경기 고양시 일산동구 중산로 254 (중산동),37.6946189,126.7811168
고양삼송점,경기 고양시 덕양구 삼송로 94-12 (삼송동) 하나타워 1층 104호,37.6503675,126.8846587
대화역점,경기 고양시 일산서구 강성로 268 (대화동) 110호,37.6773391,126.7478478
고양도래울점,경기 고양시 덕양구 도래울2로 3 (도내동),37.6302745,126.8699780
일산식사점,"경기 고양시 일산동구 위시티4로 45 (식사동, 위시티일산자이4단지아파트)",37.6794874,126.8152001
고양신원마을점,경기 고양시 덕양구 권율대로 889 (신원동) 파스텔시티 2차 107호,37.6634779,126.8895035
행신서정점,경기 고양시 덕양구 서정마을1로 4-9 (행신동),37.6188022,126.8454969
일산호수마을점,경기 고양시 일산동구 노루목로 107 (장항동),37.6499915,126.7772185
일산가좌점,경기 고양시 일산서구 가좌4로 2 (가좌동),37.6861734,126.7198108
고양동점,경기 고양시 덕양구 혜음로 32 (고양동),37.7033741,126.9023284
원당점,경기 고양시 덕양구 호국로790번길 52 (성사동),37.6552511,126.8387410
관산점,경기 고양시 덕양구 통일로768번길 9 (관산동),37.6881593,126.8652300
일산백마점,경기 고양시 일산동구 일산로 213 (마두동),37.6551773,126.7892484
일산동점,경기 고양시 일산서구 원일로 126 (일산동) 원프라자 108호,37.6849019,126.7758483
능곡점,경기 고양시 덕양구 토당로 125 (토당동),37.6264128,126.8174588
고양향동점,경기 고양시 덕양구 꽃마을로 45 (향동동) 1층 106호,37.6017314,126.8916283
광명새마을시장점,경기 광명시 광명로 837 (광명동),37.4740969,126.8508565
광명소하점,경기 광명시 기아로 9 (소하동),37.4366298,126.8807042
소하시흥대교점,경기 광명시 금하로 537 (소하동),37.4516263,126.8916071
광명시청점,경기 광명시 오리로 932 (광명동),37.4781096,126.8596212
광명금당사거리점,경기 광명시 금당로 36 (하안동),37.4588537,126.8819971
광주탄벌점,경기 광주시 벌원길 67 (탄벌동),37.4159494,127.2483560
광주양촌사거리점,경기 광주시 오포읍 양촌길 116-4,37.3704018,127.2467447
광주1호점,경기 광주시 오포읍 마루들길 208,37.3783382,127.2547485
광주경안점,경기 광주시 경안로 32 (경안동),37.4098013,127.2572884
광주태전점,경기 광주시 태봉로43번길 10 (태전동),37.3889399,127.2306080
광주퇴촌점,경기 광주시 퇴촌면 산수로 1280 신유빌딩 101호 피자스쿨,37.4688182,127.3068181
곤지암점,경기 광주시 곤지암읍 곤지암로 72,37.3495445,127.3387513
광주송정점,경기 광주시 중앙로 323 (송정동),37.4283589,127.2581567
능평삼거리점,경기 광주시 오포읍 오포로 121,37.3441952,127.1795123
