가맹점명,주소,위도,경도
신평,충남 당진시 신평면 거산리 13-4번지 1층,36.8816549,126.7555749
신평1호,부산 사하구 신평동 262-20,35.0914297,128.9734960
신평공단,경북 구미시 신평동 95-4,36.1226590,128.3651553
신풍역,서울 영등포구 신길동 445-2,37.4988660,126.9080582
신현,경기 광주시 오포읍 신현리 371-4,37.3588477,127.1595257
신호,부산 강서구 신호동 317-15,35.0821489,128.8727315
신흥1호,경기 성남시 수정구 신흥동 34,37.4492952,127.1456596
심곡1호,경기 부천시 소사구 심곡본동 678-17,37.4814650,126.7817988
십정1호,인천 부평구 십정동 440-11,37.4692146,126.6996576
쌍문1호,서울 도봉구 방학동 263-56,37.6608617,127.0352315
쌍문역,서울 도봉구 쌍문3동 88-127,37.6507156,127.0356180
쌍용1호,충남 천안시 쌍용동 1530,36.7967107,127.1181336
쌍용2호,충남 천안시 쌍용동 987,36.8046027,127.1298834
쌍촌1호,광주 서구 쌍촌동 147,35.1579555,126.8659200
아라,제주 제주시 아라일동 6080,33.4700965,126.5457589
아라이도,제주 제주시 이도2동 1970-24,33.4939237,126.5415273
아름마을,"경기 성남시 분당구 야탑동 533-8, 미라보상가 1층 7호",37.4057889,127.1233254
아미부민,부산 서구 부민동1가 11-3,35.1045984,129.0210704
아산테크노,충남 아산시 둔포면 석곡리 1704,36.9201436,127.0570178
아주,경남 거제시 아주동 1178-2,34.8650596,128.6876747
아주대,경기 수원시 팔달구 우만동 85-3 우만동R타워,37.2757674,127.0420920
아중,전북 전주시 덕진구 인후동1가 834-4,35.8336197,127.1611038
아현,서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호,37.5527494,126.9528627
안강,경북 경주시 안강읍 산대리 2400-2,36.0015556,129.1965663
안국,서울 종로구 화동 138-7,37.5793438,126.9825512
안락2호,부산 동래구 안락동 670-13,35.1939258,129.1006159
안산,전남 여수시 안산동 438-7,34.7607098,127.6510983
안서,충남 천안시 안서동 227-3,36.8296308,127.1794223
안성1호,경기 안성시 연지동 94,37.0107347,127.2707613
안성2호,경기 안성시 인지동 390-35,37.0054549,127.2690689
안성중앙대,경기 안성시 대덕면 내리 678-8,37.0021585,127.2262830
안암,서울 동대문구 제기동 142-8,37.5861138,127.0328210
안양1번가,경기 안양시 만안구 안양동 674-241,37.3994314,126.9225825
안양1호,경기 안양시 만안구 안양동 711-317,37.3957629,126.9189155
