storename,address
부산안락점,부산 동래구 안락로 131-1 (안락동) 
부산명륜점,부산 동래구 시실로 23 (명륜동) 
부산여대점,부산 부산진구 진남로 497-1 (양정동) 
부산용호점,부산 남구 동명로145번길 1 (용호동) 
부산배산역점,부산 수영구 연수로263번길 3 (망미동) 
부산장전1동점,"부산 금정구 수림로61번길 44 (장전동, 수림타워) "
부산재송점,"부산 해운대구 재반로 182 (재송동, 비둘기맨션) "
부산정관용수점,부산 기장군 정관읍 정관로 499 
부산좌4동점,부산 해운대구 좌동순환로 175 (좌동) 
부산학장점,"부산 사상구 대동로 98 (학장동, 학장반도보라타운) "
부산화명점,부산 북구 금곡대로303번길 62 (화명동) 
부산기장점,부산 기장군 기장읍 차성동로 111 
부산일광신도시점,부산 기장군 일광면 해빛2로 21 (e편한세상 일광) 
당진신평점,충남 당진시 신평면 거산3거리길 11 
당진원당점,"충남 당진시 밤절로 104 (원당동, 그린빌아파트) "
당진읍내점,충남 당진시 당진중앙1로 174 (읍내동) 
서산대산점,충남 서산시 대산읍 구진로 7 
서산석림점,충남 서산시 동서1로 35 (석림동) 
서산중앙점,충남 서산시 중앙로 35-1 (동문동) 
서산해미점,충남 서산시 해미면 남문5로 3 
서산성연점,충남 서산시 성연면 성연3로 57-30 (고운라피네 서산테크노밸리) 
서산지곡점,충남 서산시 지곡면 무장길 453-4 
아산둔포점,충남 아산시 둔포면 둔포중앙로109번길 4 
아산모산점,충남 아산시 배방읍 배방로 53 
아산모종점,충남 아산시 문화로 351 (모종동) 
아산용화점,충남 아산시 온중로 57 (용화동) 
아산신창점,충남 아산시 신창면 행목로 218 
아산신도시점,충남 아산시 배방읍 용연로 95 
아산온양온천역점,충남 아산시 온천대로 1497 (온천동) 
아산탕정점,충남 아산시 탕정면 탕정면로 37 (탕정삼성트라팰리스아파트) 
아산음봉포스코점,충남 아산시 음봉면 음봉로 515-37 (더샵 레이크시티3차 아파트) 
아산테크노밸리점,충남 아산시 둔포면 아산밸리중앙로 58-5 (아산테크노밸리이지더원2단지아파트) 
천안두정점,충남 천안시 서북구 서부대로 766 (두정동) 
천안신계리점,충남 천안시 동남구 목천읍 목천안터2길 10 
천안백석점,충남 천안시 서북구 백석3로 134 (백석동) 
천안봉명점,충남 천안시 서북구 봉명로 24 (쌍용동) 
천안불당점,충남 천안시 서북구 불당17길 27 (불당동) 
천안새샘초교점,충남 천안시 동남구 통정9로 76 (신방동) 
천안성거점,충남 천안시 서북구 성거읍 성거길 90 
천안성정점,충남 천안시 서북구 쌍용대로 296 (성정동) 
천안성환점,충남 천안시 서북구 성환읍 성환2로 105 
